"url","title"
"/records/ages/oldest-winners?level=F","Oldest ATP Finals Title Winners of All Time | Tennis Records"
"/records/played?level=M","Most Matches Played at Masters 1000 – All-Time Records | Tennis Records"
"/records/played?level=F","Most Matches Played at ATP Finals – All-Time Records | Tennis Records"
"/records/played?round=F","Most Finals Played – ATP All-Time Records | Tennis Records"
"/records/ages/youngest-winners?level=M","Youngest Masters 1000 Title Winners of All Time | Tennis Records"
"/records/count?level=M&round=QF","Most Masters 1000 Quarterfinals – All-Time ATP Records | Tennis Records"
"/records/wins?level=M&round=QF","Most Wins in Masters 1000 Quarterfinals – All-Time ATP Records | Tennis Records"
"/records/titles?level=G","Most Grand Slam Titles – All-Time ATP Records | Tennis Records"
"/records/wins?level=G","Most Grand Slam Match Wins – All-Time ATP Records | Tennis Records"
"/records/played?level=G","Most Matches Played at Grand Slams – All-Time ATP Records | Tennis Records"
"/records/ages/youngest-winners?level=G","Youngest Grand Slam Title Winners – All-Time ATP Records | Tennis Records"
"/records/ages/oldest-winners?level=G","Oldest Grand Slam Title Winners – All-Time ATP Records | Tennis Records"
"/records/titles?level=M","Most Masters 1000 Titles – All-Time ATP Records | Tennis Records"
"/records/wins?level=M","Most Masters 1000 Match Wins – All-Time ATP Records | Tennis Records"
"/records/titles?level=F","Most ATP Finals Titles – All-Time Records | Tennis Records"
"/records/wins?surface=Clay","Most Wins on Clay – All-Time ATP Records | Tennis Records"
"/records/wins?surface=Grass","Most Wins on Grass – All-Time ATP Records | Tennis Records"
"/records/wins?surface=Hard","Most Wins on Hard Court – All-Time ATP Records | Tennis Records"
"/records/titles?surface=Clay","Most Titles Won on Clay – All-Time ATP Records | Tennis Records"
"/records/titles?surface=Grass","Most Titles Won on Grass – All-Time ATP Records | Tennis Records"
"/records/streak/wins?surface=Clay","Longest Winning Streak on Clay – All-Time ATP Records | Tennis Records"
"/records/streak/wins?surface=Grass","Longest Winning Streak on Grass – All-Time ATP Records | Tennis Records"
"/records/wins?level=G&round=F","Most Grand Slam Finals Won – All-Time ATP Records | Tennis Records"
"/records/wins?level=G&round=SF","Most Grand Slam Semifinals Won – All-Time ATP Records | Tennis Records"
"/records/count?level=G&round=QF","Most Grand Slam Quarterfinals – All-Time ATP Records | Tennis Records"
"/records/wins?level=G&round=QF","Most Wins in Grand Slam Quarterfinals – All-Time ATP Records | Tennis Records"
"/records/wins?level=M&round=F","Most Masters 1000 Finals Won – All-Time ATP Records | Tennis Records"
"/records/count?level=G&round=SF","Most Grand Slam Semifinal Appearances – All-Time ATP Records | Tennis Records"
"/records/ages/youngest-winners?surface=Clay","Youngest Clay Court Title Winners – All-Time ATP Records | Tennis Records"
"/records/ages/youngest-winners?surface=Grass","Youngest Grass Court Title Winners – All-Time ATP Records | Tennis Records"
"/records/percentage?level=G","Best Win Percentage at Grand Slams – All-Time ATP Records | Tennis Records"
"/records/percentage?level=M","Best Win Percentage at Masters 1000 – All-Time ATP Records | Tennis Records"
"/records/percentage?surface=Clay","Best Win Percentage on Clay – All-Time ATP Records | Tennis Records"
"/records/percentage?surface=Grass","Best Win Percentage on Grass – All-Time ATP Records | Tennis Records"
"/records/percentage?surface=Hard","Best Win Percentage on Hard Court – All-Time ATP Records | Tennis Records"
"/records/titles?surface=Hard","Most Titles Won on Hard Court – All-Time ATP Records | Tennis Records"
"/records/entries?level=G","Most Grand Slam Appearances – All-Time ATP Records | Tennis Records"
"/records/entries?level=M","Most Masters 1000 Appearances – All-Time ATP Records | Tennis Records"
"/records/wins?round=SF","Most Semifinals Won – All-Time ATP Records | Tennis Records"
"/records/wins?round=QF","Most Quarterfinals Won – All-Time ATP Records | Tennis Records"
"/records/count?level=G&round=F","Most Grand Slam Final Appearances – All-Time ATP Records | Tennis Records"
"/records/streak/wins?surface=Hard","Longest Winning Streak on Hard Court – All-Time ATP Records | Tennis Records"
"/records/streak/wins?level=G","Longest Winning Streak at Grand Slams – All-Time ATP Records | Tennis Records"
"/records/streak/wins?level=M","Longest Winning Streak at Masters 1000 – All-Time ATP Records | Tennis Records"
"/records/titles?level=G&surface=Clay","Most Roland Garros Titles – All-Time ATP Records | Tennis Records"
"/records/titles?level=G&surface=Grass","Most Wimbledon Titles – All-Time ATP Records | Tennis Records"
"/records/titles?level=G&surface=Hard","Most Hard Court Grand Slam Titles – All-Time ATP Records | Tennis Records"
"/records/wins?level=G&surface=Clay","Most Match Wins at Roland Garros – All-Time ATP Records | Tennis Records"
"/records/wins?level=G&surface=Grass","Most Match Wins at Wimbledon – All-Time ATP Records | Tennis Records"
"/records/wins?level=G&surface=Hard","Most Match Wins at Hard Court Grand Slams – All-Time ATP Records | Tennis Records"
"/records/percentage?level=G&surface=Clay","Best Win Percentage at Roland Garros – All-Time ATP Records | Tennis Records"
"/records/percentage?level=G&surface=Grass","Best Win Percentage at Wimbledon – All-Time ATP Records | Tennis Records"
"/records/count?level=M&round=F","Most Masters 1000 Final Appearances – All-Time ATP Records | Tennis Records"
"/records/timespan/titles?level=G","Longest Gap Between Two Grand Slam Titles – All-Time ATP Records | Tennis Records"
"/records/seasons/titles?level=G","Most Grand Slam Titles in a Single Season – All-Time ATP Records | Tennis Records"
"/records/seasons/wins?level=G","Most Grand Slam Match Wins in a Single Season – All-Time ATP Records | Tennis Records"
